polarity,text,Unnamed: 2
neg,switchfoot http twitpiccomyzl awww bummer shoulda got david carr third day,
neg,upset ca nt update facebook texting might cry result school today also blah,
neg,kenichan dived many time ball managed save rest go bound,
neg,whole body feel itchy like fire,
neg,nationwideclass behaving mad ca nt see,
neg,kwesidei whole crew,
neg,need hug,
neg,loltrish hey long time see yes rain bit bit lol fine thanks,
neg,tatianak nope nt,
neg,twittera que muera,
neg,spring break plain city snowing,
neg,repierced ear,
neg,caregiving could nt bear watch thought ua loss wa embarrassing,
neg,octolinz count idk either never talk anymore,
neg,smarrison would first nt gun really though zac snyder doucheclown,
neg,iamjazzyfizzle wish got watch miss iamlilnicki wa premiere,
neg,hollis death scene hurt severely watch film wry director cut,
neg,file tax,
neg,lettya ahh ive always wanted see rent love soundtrack,
neg,fakerpattypattz oh dear drinking forgotten table drink,
neg,alydesigns wa day nt get much done,
neg,one friend called asked meet mid valley today time sigh,
neg,angrybarista baked cake ated,
neg,week going hoped,
neg,blagh class tomorrow,
neg,hate call wake people,
neg,going cry sleep watching marley,
neg,im sad misslilly,
neg,ooooh lol leslie ok wo nt leslie wo nt get mad,
neg,meh almost lover exception track get depressed every time,
neg,hacked account aim make new one,
neg,alielayus want go promote gear groove unfornately ride may b going one anaheim may though,
neg,thought sleeping wa option tomorrow realizing evaluation morning work afternoon,
neg,julieebaby awe love miss,
neg,humpninja cry asian eye sleep night,
neg,ok sick spent hour sitting shower cause wa sick stand held back puke like champ bed,
neg,cocomix ill tell ya story later good day ill workin like three hour,
neg,missxu sorry bed time came gmt http isgdfnge,
neg,fleurylis nt either depressing nt think even want know kid suitcase,
neg,bed class work gym class another day gon na fly miss girlfriend,
neg,really nt feel like getting today got study tomorrow practical exam,
neg,reason teardrop guitar one ha enough break heart,
neg,sad sad sad nt know hate feeling wan na sleep still ca nt,
neg,jonathanrknight awww soo wish wa see finally comfortable im sad missed,
neg,falling asleep heard tracy girl body found sad heart break family,
neg,viennah yay happy job also mean le time,
neg,checked user timeline blackberry look like twanking still happening ppl still probs w bgs uids,
neg,oh man wa ironing jeancjumbe fave top wear meeting burnt,
neg,strangely sad lilo samro breaking,
neg,tea oh sorry nt think retweeting,
neg,broadband plan massive broken promise http tinyurlcomdcuc via wwwdiigocomtautao still waiting broadband,
neg,localtweeps wow ton reply may unfollow see friend tweet scrolling feed lot,
neg,duck chicken taking wayyy long hatch,
neg,put vacation photo online yr ago pc crashed forget name site,
neg,need hug,
neg,andywana sure po much want dont think trade away company asset sorry andy,
neg,oanhlove hate happens,
neg,sad feeling dallas going show got ta say though think show would use music game mmm,
neg,ugh degree tomorrow,
neg,u move thought u already sd hmmm random u found glad hear yer well,
neg,batmanyng miss p commission wutcha playing copped blood sand,
neg,leaving parking lot work,
neg,life cool,
neg,sadly though never gotten experience post coitus cigarette never,
neg,nice day bad rain come tomorrow,
neg,starrbby bad wo nt around lost job ca nt even pay phone bill lmao aw shuck,
neg,damm back school tomorrow,
neg,mo job money hell min wage f n clam hour,
